Column definitions: ,,,,,,,,,,,,,,,,
Experiment, name of experiment,,,,,,,,,,,,,,,
Q2, Q^2 in (GeV/c)^2,,,,,,,,,,,,,,,
epsilon, virtual photon polarization,,,,,,,,,,,,,,,
Ebeam, electron beam energy in GeV,,,,,,,,,,,,,,,
etheta, electron scattering angle in degrees,,,,,,,,,,,,,,,
sigma_old,, Born cross section (dsigma/dOmega_e) in nb/sr,, with "old" radiative corrections,,,,,,,,,,,,,,,,
dsigma_old,, total uncertainty of Born cross section in nb/sr,, with "old" radiative corrections. Does NOT include normalization uncertainty,,,,,,,,,,,,,,,,
norm_unc, Normalization uncertainty assumed in global fit chi-squared calculation.,,,,,,,,,,,,,,,
sigma_new,, Born cross section (dsigma/dOmega_e) with updated radiative corrections,, in nb/sr. Normalization from global fit NOT applied.,,,,,,,,,,,,,,,,
dsigma_new,, total uncertainty of Born cross section with updated radiative corrections,, in nb/sr. Does NOT include normalization uncertainty.,,,,,,,,,,,,,,,,
sigmaR, reduced cross section as defined in Eq. (2) of main paper. Normalization factor from global fit is NOT applied,,,,,,,,,,,,,,,
dsigmaR, reduced cross section uncertainty. Normalization factor from global fit is NOT applied and normalization uncertainty is NOT included,,,,,,,,,,,,,,,
norm, experiment normalization factor resulting from global fit.,,,,,,,,,,,,,,,
dnorm, uncertainty of experiment normalization factor resulting from global fit.,,,,,,,,,,,,,,,
GMp, magnetic form factor GMp/(mu_p GD) from sigmaR assuming RS from global fit. Normalization from global fit IS applied.,,,,,,,,,,,,,,,
dGMp,, uncertainty of magnetic form factor GMp/(mu_p GD) from sigmaR assuming RS from global fit,, including uncertainty contributions from cross section and from global fit normalization factor,,,,,,,,,,,,,,,,
chi2contr, contribution of this data point to global fit chi-squared,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Experiment,      Q2, epsilon,   Ebeam, etheta,  sigma_old, dsigma_old, norm_unc,  sigma_new, dsigma_new,     sigmaR,  dsigmaR,    norm,   dnorm,     GMp,    dGMp, chi2contr
 Andivahis_1,1.75,0.25,1.511,90.066,0.144,0.00175,0.0177,0.14497,0.00176,3.131E-02,3.8E-04,1.00627,0.00374,1.05533,0.00681,0.1359
 Andivahis_1,1.75,0.7037,2.407,41.11,1.029,0.0109,0.0177,1.0306,0.0109,3.434E-02,3.6E-04,1.00627,0.00374,1.05884,0.0067,1.0926
 Andivahis_1,1.7499,0.9497,5.507,15.145,11.55,0.134,0.0177,11.549,0.134,3.549E-02,4.1E-04,1.00627,0.00374,1.05323,0.00753,0.0019
 Andivahis_1,2.5,0.2266,1.968,89.948,0.03389,0.000483,0.0177,0.034185,0.000487,1.527E-02,2.2E-04,1.00627,0.00374,1.06098,0.00787,0.1396
 Andivahis_1,2.5,0.4786,2.407,58.882,0.09857,0.00132,0.0177,0.098993,0.00132,1.561E-02,2.1E-04,1.00627,0.00374,1.05546,0.00756,0.1455
 Andivahis_1,2.5,0.6303,2.837,44.993,0.199,0.00264,0.0177,0.1995,0.00265,1.580E-02,2.1E-04,1.00627,0.00374,1.05217,0.00764,0.7397
 Andivahis_1,2.5,0.7498,3.4,34.694,0.3951,0.00427,0.0177,0.39566,0.00427,1.614E-02,1.7E-04,1.00627,0.00374,1.05541,0.00667,0.2328
 Andivahis_1,2.4937,0.8204,3.95,28.409,0.6616,0.00764,0.0177,0.66215,0.00764,1.624E-02,1.9E-04,1.00627,0.00374,1.05131,0.00709,1.2838
 Andivahis_1,2.5001,0.9128,5.5069,18.981,1.779,2.12E-02,0.0177,1.7793,2.12E-02,1.628E-02,1.9E-04,1.00627,0.00374,1.05002,0.00739,1.7025
