   #Q2            GEn/GD       dGEn/GD   ExpType  ExpNum     Norm
   0.31000       0.03500       0.01300      4.     1         0.0 
   0.25500       0.06600       0.03711      1.     2         0.0 
   0.21000       0.06600       0.01552      2.     3         0.0 
   0.15000       0.04810       0.00839      1.     4         0.0 
   0.34000       0.06790       0.00924      1.     4         0.0 
   0.67000       0.05200       0.01208      4.     5         0.0 
   0.40000       0.05200       0.00380      4.     6         0.0 
   0.49500       0.04632       0.00704      2.     8         0.0 
   0.67000       0.04840       0.00710      4.     9         0.0 
   0.44700       0.05500       0.00621      1.     10        0.0 
   1.13200       0.03940       0.00314      1.     10        0.0 
   1.45000       0.04110       0.00373      1.     10        0.0 
   0.50000       0.05260       0.00420      2.     11        0.0 
   1.00000       0.04540       0.00655      2.     11        0.0 
   0.30000       0.05520       0.00627      1.     12        0.0 
   0.59000       0.04770       0.00713      1.     12        0.0 
   0.79000       0.04680       0.00917      1.     12        0.0 
   0.14200       0.03400       0.00546      2.     13        0.0 
   0.20300       0.04070       0.00580      2.     13        0.0 
   0.29100       0.05020       0.00710      2.     13        0.0 
   0.45100       0.04370       0.00767      2.     13        0.0 
   1.72000       0.02360       0.00311      4.     14        0.0 
   2.48000       0.02080       0.00306      4.     14        0.0 
   3.41000       0.01470       0.00244      4.     14        0.0 
   1.58000       0.02400       0.00585      4.     15        0.0 
                                                                 
