       #Q2           GMn/mu_n/GD    dGMn/mu_n/GD  ExpType  ExpNum      Norm
     2.50000         0.94308         0.06714      1.       1       0.010
     4.00000         0.90717         0.06605      1.       1       0.010
     6.00000         0.89069         0.06685      1.       1       0.010
     8.00000         0.68883         0.10785      1.       1       0.010
    10.00000         0.61150         0.15681      1.       1       0.010
     1.75000         1.05200         0.05200      1.       2       0.010
     2.50000         1.01400         0.04400      1.       2       0.010
     3.25000         0.96700         0.06100      1.       2       0.010
     4.00000         0.92300         0.08100      1.       2       0.010
     0.20000         0.93100         0.05725      3.       3       0.005
     0.23500         0.96200         0.01100      2.       4       0.005
     0.50400         1.03200         0.01900      2.       4       0.005
     0.65200         1.03700         0.01600      2.       4       0.005
     0.78400         1.04300         0.01600      2.       4       0.005
     0.07100         0.99000         0.01600      2.       5       0.005
     0.12500         0.96700         0.01600      2.       5       0.005
     0.35900         0.98900         0.01900      2.       5       0.005
     0.89400         1.06200         0.02400      2.       5       0.005
     0.10000         0.94810         0.02663      3.       6       0.005
     0.19300         0.95110         0.02664      3.       6       0.005
     0.30000         0.95770         0.05536      3.       6       0.005
     0.40000         0.96940         0.03058      3.       6       0.005
     0.50000         0.96890         0.02700      3.       6       0.005
     0.60000         0.99390         0.02864      3.       6       0.005
     1.13637         1.01294         0.02310      2.       7       0.005
     1.59090         1.01627         0.01971      2.       7       0.005
     2.04547         1.00364         0.02069      2.       7       0.005
     2.50000         1.01620         0.02268      2.       7       0.005
     2.95557         0.99940         0.02219      2.       7       0.005
     3.40910         0.98781         0.02165      2.       7       0.005
     3.86363         0.99029         0.02222      2.       7       0.005
     4.31820         0.92990         0.02442      2.       7       0.005
     4.69695         1.10180         0.07999      2.       7       0.005
